entity,code,year,co2_pc,co2_total,pacific,co2_total_mt
Kazakhstan,KAZ,2024,13.937352,287005950,FALSE,287.00595
Kenya,KEN,2024,0.37611777,21225434,FALSE,21.225434
Kiribati,KIR,2024,0.5386222,72456,TRUE,0.072456
Kuwait,KWT,2024,26.24753,129518650,FALSE,129.51865
Kyrgyzstan,KGZ,2024,1.6379259,11770158,FALSE,11.770158
Laos,LAO,2024,3.140345,24399926,FALSE,24.399926
Latvia,LVA,2024,3.4520962,6461889,FALSE,6.461889
Lebanon,LBN,2024,2.6955004,15649973,FALSE,15.649973
Lesotho,LSO,2024,1.100255,2571767,FALSE,2.571767
Liberia,LBR,2024,0.15310843,859369,FALSE,0.859369
Libya,LBY,2024,8.841596,65260070,FALSE,65.26007
Liechtenstein,LIE,2024,3.2992606,131624,FALSE,0.131624
Lithuania,LTU,2024,4.386505,12541509,FALSE,12.541509
Luxembourg,LUX,2024,10.459649,7039783,FALSE,7.039783
Macao,MAC,2024,1.4665723,1056328,FALSE,1.056328
Madagascar,MDG,2024,0.14166704,4528381,FALSE,4.528381
Malawi,MWI,2024,0.08688312,1881479,FALSE,1.881479
Malaysia,MYS,2024,8.16206,290223840,FALSE,290.22384
Maldives,MDV,2024,4.3694687,2306210,FALSE,2.30621
Mali,MLI,2024,0.2850997,6978840,FALSE,6.97884
Malta,MLT,2024,3.2037206,1728766,FALSE,1.728766
Marshall Islands,MHL,2024,4.1115723,154480,TRUE,0.15448
Mauritania,MRT,2024,1.0134012,5238679,FALSE,5.238679
Mauritius,MUS,2024,3.6766226,4673616,FALSE,4.673616
Mexico,MEX,2024,3.5227275,460987650,FALSE,460.98765
Micronesia (country),FSM,2024,1.3309593,150626,TRUE,0.150626
Moldova,MDA,2024,1.7551568,5326843,FALSE,5.326843
Mongolia,MNG,2024,12.859549,44693890,FALSE,44.69389
Montenegro,MNE,2024,3.7217364,2376258,FALSE,2.376258
Montserrat,MSR,2024,6.0215225,26579,FALSE,0.026579
Morocco,MAR,2024,1.813556,69062344,FALSE,69.062344
Mozambique,MOZ,2024,0.24869162,8612630,FALSE,8.61263
Myanmar,MMR,2024,0.5798787,31603438,FALSE,31.603438
Namibia,NAM,2024,1.1448735,3469112,FALSE,3.469112
Nauru,NRU,2024,5.129512,61390,TRUE,0.06139
Nepal,NPL,2024,0.6332349,18776082,FALSE,18.776082
Netherlands,NLD,2024,6.29691,114784730,FALSE,114.78473
New Caledonia,NCL,2024,18.0644,5286637,TRUE,5.286637
New Zealand,NZL,2024,6.229343,32479432,FALSE,32.479432
Nicaragua,NIC,2024,0.8140884,5630346,FALSE,5.630346
Niger,NER,2024,0.11726506,3169958,FALSE,3.169958
Nigeria,NGA,2024,0.5837386,135824000,FALSE,135.824
Niue,NIU,2024,4.142857,7627,FALSE,0.007627
North Korea,PRK,2024,2.3604918,62550270,FALSE,62.55027
North Macedonia,MKD,2024,3.6311553,6619636,FALSE,6.619636
Norway,NOR,2024,6.667616,37183000,FALSE,37.183
Oman,OMN,2024,15.651107,82661976,FALSE,82.661976
Pakistan,PAK,2024,0.71556884,179800380,FALSE,179.80038
Palau,PLW,2024,12.760258,226099,TRUE,0.226099
Palestine,PSE,2024,0.86981934,4780046,FALSE,4.780046
Panama,PAN,2024,2.8046095,12664428,FALSE,12.664428
Papua New Guinea,PNG,2024,0.7890545,8345442,TRUE,8.345442
Paraguay,PRY,2024,1.1454097,7936718,FALSE,7.936718
Peru,PER,2024,2.0529242,70246650,FALSE,70.24665
Philippines,PHL,2024,1.5096035,174878000,FALSE,174.878
Poland,POL,2024,7.0801096,272861820,FALSE,272.86182
Portugal,PRT,2024,3.4089074,35538852,FALSE,35.538852
Qatar,QAT,2024,41.27118,125812260,FALSE,125.81226
Romania,ROU,2024,3.605104,68551400,FALSE,68.5514
Russia,RUS,2024,12.294705,1780524400,FALSE,1780.5244
Rwanda,RWA,2024,0.14263947,2033550,FALSE,2.03355
Saint Helena,SHN,2024,2.1647663,11391,FALSE,0.011391
Saint Kitts and Nevis,KNA,2024,5.542429,259757.02,FALSE,0.25975702
Saint Lucia,LCA,2024,2.9869597,536909,FALSE,0.536909
Saint Pierre and Miquelon,SPM,2024,9.788039,55322,FALSE,0.055322
Saint Vincent and the Grenadines,VCT,2024,2.5405643,255656.98,FALSE,0.25565698000000003
Samoa,WSM,2024,1.1263857,245587,TRUE,0.245587
Sao Tome and Principe,STP,2024,0.6019113,141779,FALSE,0.141779
Saudi Arabia,SAU,2024,20.379194,692133500,FALSE,692.1335
Senegal,SEN,2024,0.76163954,14091846,FALSE,14.091846
Serbia,SRB,2024,6.237839,42019440,FALSE,42.01944
Seychelles,SYC,2024,5.002998,652571,FALSE,0.652571
Sierra Leone,SLE,2024,0.165966,1434283,FALSE,1.434283
Singapore,SGP,2024,9.244836,53919460,FALSE,53.91946
Sint Maarten (Dutch part),SXM,2024,16.546274,717645,FALSE,0.717645
Slovakia,SVK,2024,5.282773,29090958,FALSE,29.090958
Slovenia,SVN,2024,6.0184274,12751194,FALSE,12.751194
Solomon Islands,SLB,2024,0.3596751,294648,TRUE,0.294648
Somalia,SOM,2024,0.06939735,1319185,FALSE,1.319185
South Africa,ZAF,2024,6.8715796,439830500,FALSE,439.8305
South Korea,KOR,2024,11.285893,583679170,FALSE,583.67917
South Sudan,SSD,2024,0.14196548,1695552,FALSE,1.695552
Spain,ESP,2024,4.599015,220341280,FALSE,220.34128
Sri Lanka,LKA,2024,0.90139973,20825544,FALSE,20.825544
Sudan,SDN,2024,0.35272878,17794800,FALSE,17.7948
Suriname,SUR,2024,4.7093143,2987768,FALSE,2.987768
Sweden,SWE,2024,3.5916543,38096652,FALSE,38.096652
Switzerland,CHE,2024,3.5946856,32071708,FALSE,32.071708
Syria,SYR,2024,1.2879974,31778448,FALSE,31.778448
Taiwan,TWN,2024,11.301164,262344820,FALSE,262.34482
Tajikistan,TJK,2024,1.0140533,10739768,FALSE,10.739768
Tanzania,TZA,2024,0.29198244,20018364,FALSE,20.018364
Thailand,THA,2024,3.7361188,267760200,FALSE,267.7602
Togo,TGO,2024,0.32755217,2753585,FALSE,2.753585
Tonga,TON,2024,1.464028,152540,TRUE,0.15254
Trinidad and Tobago,TTO,2024,22.931944,34576280,FALSE,34.57628
Tunisia,TUN,2024,2.6605377,32663696,FALSE,32.663696
Turkey,TUR,2024,5.865009,513034600,FALSE,513.0346
Turkmenistan,TKM,2024,10.808675,81005550,FALSE,81.00555
Turks and Caicos Islands,TCA,2024,8.136117,378842,FALSE,0.378842
Tuvalu,TUV,2024,1.1831627,11440,TRUE,0.01144
Uganda,UGA,2024,0.12663798,6333810,FALSE,6.33381
Ukraine,UKR,2024,3.7637882,142497860,FALSE,142.49786
United Arab Emirates,ARE,2024,20.131075,221988080,FALSE,221.98808
United Kingdom,GBR,2024,4.5257993,312905540,FALSE,312.90554
United States,USA,2024,14.197287,4904120000,FALSE,4904.12
Uruguay,URY,2024,2.35437,7973270,FALSE,7.97327
Uzbekistan,UZB,2024,3.829127,139234180,FALSE,139.23418
Vanuatu,VUT,2024,0.6012429,197079,TRUE,0.197079
Venezuela,VEN,2024,4.085203,116042424,FALSE,116.042424
Vietnam,VNM,2024,3.6730351,370931330,FALSE,370.93133
Wallis and Futuna,WLF,2024,2.6991065,30508,TRUE,0.030508
Yemen,YEM,2024,0.24944058,10123090,FALSE,10.12309
Zambia,ZMB,2024,0.5650162,12043299,FALSE,12.043299
Zimbabwe,ZWE,2024,0.82366556,13701154,FALSE,13.701154
